epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4299,1.98411,3.97311,1.37339,0.00325,0.975,0.01999,0.01011,1.18101,3.70683,1.02362,0.00038,0.00038,0.00038
2,168.131,1.25028,1.92482,1.00853,0.00317,0.95,0.12732,0.0888,1.06632,3.70661,1.02446,0.000772278,0.000772278,0.000772278
3,259.053,1.27417,1.68977,0.99713,0.91234,0.52053,0.77189,0.45006,1.16093,3.18184,1.04132,0.00115664,0.00115664,0.00115664
4,338.934,1.18981,1.7153,1.00889,0.85878,0.775,0.86048,0.60597,1.0882,2.4301,1.05804,0.00153307,0.00153307,0.00153307
5,415.181,1.17865,1.57599,1.04265,0.91457,0.95,0.90863,0.59142,1.22251,1.88958,1.16535,0.00190159,0.00190159,0.00190159
6,489.68,1.22656,1.52698,1.02685,0.89918,0.89203,0.90513,0.61549,1.01797,1.96983,1.01717,0.001901,0.001901,0.001901
7,572.133,1.15261,1.35352,1.0047,0.9497,0.95,0.93086,0.63728,1.10684,1.44141,1.12423,0.0018812,0.0018812,0.0018812
8,655.083,1.20833,1.33043,0.99462,0.94446,0.95,0.914,0.64874,1.04433,1.46981,1.07172,0.0018614,0.0018614,0.0018614
9,738.478,1.17376,1.25941,0.97833,0.94786,0.95,0.909,0.64165,1.22037,1.3978,1.05692,0.0018416,0.0018416,0.0018416
10,824.535,1.19153,1.12586,0.97278,0.94947,0.93959,0.905,0.67779,0.9558,1.2996,1.01513,0.0018218,0.0018218,0.0018218
11,907.718,1.10344,1.14591,0.97383,0.94544,0.95,0.9075,0.69051,0.90276,1.13502,0.99637,0.001802,0.001802,0.001802
12,990.286,1.02853,1.08233,0.93679,0.94722,0.95,0.9075,0.69144,0.94626,1.05646,0.98174,0.0017822,0.0017822,0.0017822
